file,label,dist_centroid,valence,arousal,familiarity,title,composer,film,year,genre,director
theworstpersonintheworldharrynilssonisaidgoodbyetomesample1mp3.mp3,0,2.0166485765994033,0.405,-0.23875,familiar-feeling-not-familiar,I Said Goodbye To Me,Harry Nilsson,The Worst Person In The World,2021.0,"Comedy, Drama, Romance",Joachim Trier
ludwiggoranssontchallablackpantherwakandaforeversample2mp3.mp3,0,2.029460478456703,0.54445,0.28715,familiar,T'Challa,Ludwig Göransson,Black Panther: Wakanda Forever,2018.0,Action Adventure Sci-Fi,Ryan Coogler
thewingsgustavosantaolallabrokebackmountainsample1mp3.mp3,0,2.0396993983065026,0.17352,0.05453000000000001,familiar-feeling-not-familiar,The Wings,Gustavo Santaolalla,Brokeback Mountain,2006.0,Drama Romance,Ang Lee
arrivaljonnygreenwoodspencersample1mp3.mp3,0,2.0487251426144355,0.00199,-0.18,never-heard-this,Arrival,Jonny Greenwood,Spencer,2021.0,Biography Drama,Pablo Larraín
alansilvestriinfinitywarfromavengerssample1mp3.mp3,0,2.0682951623738455,0.40014000000000005,-0.184065,familiar-feeling-not-familiar,Infinity War,Alan Silvestri,Avengers: Infinity War,2018.0,Action Adventure Sci-Fi,"Anthony Russo, Joe Russo"
pasdedeuxmichaelabelsussample1mp3.mp3,0,2.0945840242604326,0.42969,0.0,never-heard-this,Pas De Deux,Michael Abels,Us,2019.0,Horror Mystery Thriller,Jordan Peele
whiplashhanklevysample1mp3.mp3,0,2.098060384918515,0.67449,0.73875,familiar-feeling-not-familiar,Whiplash,Hank Levy,Whiplash,2014.0,Drama Music,Damien Chazelle
blackwayblackcaviarwhatsupdangerspidermanintothespiderversesample1mp3.mp3,0,2.1363025157969346,0.15482500000000005,-0.025419999999999998,never-heard-this,What's Up Danger,Blackway & Black Caviar / Jared Piccone,Spider-Man: Into the Spider-Verse,2018.0,Animation Action Adventure,"Bob Persichetti, Peter Ramsey, Rodney Rothman"
youandwhosearmyradioheadincendiessample1mp3.mp3,0,2.143956473756744,0.557365,-0.42211,familiar,You and Whose Army?,Radiohead,Incendies,2010.0,Drama Mystery,Denis Villeneuve
callingthewhipperinjonnygreenwoodspencersample2mp3.mp3,0,2.1548239597476253,0.54198,-0.47797,never-heard-this,Calling The Whipper In,Jonny Greenwood,Spencer,2021.0,Biography Drama,Pablo Larraín
